total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,Cluster,Deficit Tier
2,0,2,0,0,1,0,0,Server Deficit
12,0,12,0,0,1,0,0,Server Deficit
11,0,11,0,6,1,0,0,Server Deficit
27,9,18,0,0,4,0,1,Moderate Deficit
2,0,2,0,0,1,0,0,Server Deficit
5,0,5,0,0,2,0,0,Server Deficit
8,0,8,0,1,1,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
7,1,6,0,0,1,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
10,0,10,0,5,0,0,0,Server Deficit
2,1,1,0,0,1,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
21,3,18,0,10,1,0,0,Server Deficit
6,0,6,0,0,3,0,0,Server Deficit
11,1,10,0,1,1,0,0,Server Deficit
3,0,3,0,0,3,0,0,Server Deficit
9,0,9,0,0,7,0,1,Moderate Deficit
2,0,2,0,0,0,0,0,Server Deficit
3,0,3,0,0,1,0,0,Server Deficit
2,0,2,0,0,1,0,0,Server Deficit
23,5,18,0,0,6,0,1,Moderate Deficit
4,0,4,0,0,0,0,0,Server Deficit
3,0,3,0,1,0,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
21,13,8,0,1,4,0,1,Moderate Deficit
52,2,50,0,4,8,0,1,Moderate Deficit
4,1,3,0,2,1,0,0,Server Deficit
2,0,2,0,0,1,0,0,Server Deficit
3,0,3,0,0,0,0,0,Server Deficit
4,0,4,0,1,0,0,0,Server Deficit
26,9,17,0,0,6,0,1,Moderate Deficit
40,11,29,0,17,1,0,1,Moderate Deficit
10,1,9,0,1,2,0,0,Server Deficit
3,0,3,0,1,0,0,0,Server Deficit
16,2,14,0,1,1,0,0,Server Deficit
29,2,27,0,11,4,0,1,Moderate Deficit
5,1,4,0,1,0,0,0,Server Deficit
2,0,2,0,0,1,0,0,Server Deficit
3,1,2,0,1,0,0,0,Server Deficit
24,2,22,0,2,0,0,0,Server Deficit
2,0,2,0,0,1,0,0,Server Deficit
20,7,13,0,1,4,0,1,Moderate Deficit
2,2,0,0,0,1,0,0,Server Deficit
21,1,20,0,5,0,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
2,0,2,0,0,1,0,0,Server Deficit
6,1,5,0,0,0,0,0,Server Deficit
60,8,52,0,10,4,0,1,Moderate Deficit
8,2,6,0,0,0,0,0,Server Deficit
54,3,51,0,5,3,0,1,Moderate Deficit
2,0,2,0,0,0,0,0,Server Deficit
7,2,5,0,1,1,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
16,3,13,0,0,1,0,0,Server Deficit
8,0,8,0,1,1,0,0,Server Deficit
8,0,8,0,2,0,0,0,Server Deficit
31,5,26,0,0,7,0,1,Moderate Deficit
1,0,1,0,1,0,0,0,Server Deficit
20,4,16,0,2,3,0,1,Moderate Deficit
14,4,10,0,2,5,0,1,Moderate Deficit
3,0,3,0,0,2,0,0,Server Deficit
35,5,30,0,9,1,0,1,Moderate Deficit
28,3,25,0,13,5,0,1,Moderate Deficit
7,0,7,0,1,2,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
14,8,6,0,0,10,0,1,Moderate Deficit
15,1,14,0,0,3,0,0,Server Deficit
17,1,16,0,4,1,0,0,Server Deficit
71,9,62,0,34,0,0,2,Well Equipped
14,1,13,0,1,0,0,0,Server Deficit
3,1,2,0,0,1,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
7,1,6,0,0,1,0,0,Server Deficit
1,0,1,0,0,0,0,0,Server Deficit
25,9,16,0,2,5,0,1,Moderate Deficit
31,2,29,0,8,3,0,1,Moderate Deficit
32,7,25,0,7,2,0,1,Moderate Deficit
6,0,6,0,0,2,0,0,Server Deficit
2,0,2,0,0,1,0,0,Server Deficit
5,0,5,0,3,0,0,0,Server Deficit
9,3,6,0,1,1,0,0,Server Deficit
9,0,9,0,0,3,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
11,4,7,0,0,1,0,0,Server Deficit
7,1,6,0,0,0,0,0,Server Deficit
26,2,24,0,5,2,0,1,Moderate Deficit
4,0,4,0,0,0,0,0,Server Deficit
8,0,8,0,1,1,0,0,Server Deficit
5,1,4,0,0,5,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
16,6,10,0,1,4,0,1,Moderate Deficit
3,0,3,0,2,0,0,0,Server Deficit
8,0,8,0,0,0,0,0,Server Deficit
5,1,4,0,1,0,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
4,0,4,0,0,1,0,0,Server Deficit
4,1,3,0,0,1,0,0,Server Deficit
2,2,0,0,0,0,1,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
33,7,26,0,8,2,0,1,Moderate Deficit
7,0,7,0,1,2,0,0,Server Deficit
5,0,5,0,5,0,0,0,Server Deficit
7,0,7,0,2,0,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
7,4,3,0,0,4,0,0,Server Deficit
7,2,5,0,0,0,0,0,Server Deficit
17,1,16,0,3,1,0,0,Server Deficit
0,0,0,0,0,0,0,0,Server Deficit
20,0,20,0,2,5,0,1,Moderate Deficit
5,0,5,0,3,0,0,0,Server Deficit
8,1,7,0,1,0,0,0,Server Deficit
6,0,6,0,0,2,0,0,Server Deficit
30,7,23,0,5,1,0,1,Moderate Deficit
18,10,8,0,2,1,0,1,Moderate Deficit
20,7,13,0,2,4,0,1,Moderate Deficit
16,1,15,0,1,1,0,0,Server Deficit
8,0,8,0,0,4,0,0,Server Deficit
10,0,10,0,0,2,0,0,Server Deficit
22,2,20,0,4,0,0,0,Server Deficit
25,0,25,0,5,4,0,1,Moderate Deficit
2,0,2,0,1,1,0,0,Server Deficit
37,4,33,0,2,2,0,1,Moderate Deficit
1,1,0,0,0,1,0,0,Server Deficit
38,12,26,0,2,10,0,1,Moderate Deficit
10,3,7,0,0,5,0,0,Server Deficit
78,9,69,0,7,6,0,2,Well Equipped
2,0,2,0,0,0,0,0,Server Deficit
72,7,65,0,6,4,0,1,Moderate Deficit
2,0,2,0,1,0,0,0,Server Deficit
9,3,6,0,0,0,0,0,Server Deficit
6,3,3,0,0,0,0,0,Server Deficit
10,0,10,0,1,1,0,0,Server Deficit
16,0,16,0,2,0,0,0,Server Deficit
10,0,10,0,2,2,0,0,Server Deficit
6,1,5,0,6,0,0,0,Server Deficit
1,1,0,0,0,0,0,0,Server Deficit
4,0,4,0,1,0,0,0,Server Deficit
5,1,4,0,0,1,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
1,0,1,0,0,0,0,0,Server Deficit
16,0,16,0,0,0,0,0,Server Deficit
5,0,5,0,0,3,0,0,Server Deficit
53,9,44,0,10,7,0,1,Moderate Deficit
12,0,12,0,1,0,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
2,0,2,0,0,2,0,0,Server Deficit
5,1,4,0,1,1,0,0,Server Deficit
36,0,36,0,23,4,0,1,Moderate Deficit
2,1,1,0,0,1,0,0,Server Deficit
13,1,12,0,1,2,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
4,1,3,0,0,1,0,0,Server Deficit
2,1,1,0,0,1,0,0,Server Deficit
2,1,1,0,0,1,1,0,Server Deficit
26,5,21,0,2,5,0,1,Moderate Deficit
3,1,2,0,1,0,0,0,Server Deficit
13,2,11,0,0,0,0,0,Server Deficit
14,0,14,0,1,3,0,0,Server Deficit
45,5,40,0,15,3,0,1,Moderate Deficit
4,2,2,0,0,4,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
20,1,19,0,3,4,0,1,Moderate Deficit
12,0,12,0,2,2,0,0,Server Deficit
76,11,65,0,47,4,1,2,Well Equipped
10,1,9,0,10,0,0,0,Server Deficit
23,7,16,0,3,4,0,1,Moderate Deficit
10,2,8,0,1,2,0,0,Server Deficit
52,11,41,0,11,7,0,1,Moderate Deficit
62,5,57,0,5,0,0,1,Moderate Deficit
2,0,2,0,0,0,0,0,Server Deficit
5,1,4,0,0,2,0,0,Server Deficit
33,0,33,0,4,3,0,1,Moderate Deficit
2,0,2,0,0,0,0,0,Server Deficit
94,4,90,0,27,6,0,2,Well Equipped
48,9,39,0,14,0,0,1,Moderate Deficit
10,0,10,0,1,1,0,0,Server Deficit
5,0,5,0,1,0,0,0,Server Deficit
7,3,4,0,1,3,0,0,Server Deficit
6,0,6,0,0,0,0,0,Server Deficit
4,0,4,0,0,0,0,0,Server Deficit
16,6,10,0,6,1,0,0,Server Deficit
61,4,57,0,13,1,0,1,Moderate Deficit
18,1,17,0,2,2,0,0,Server Deficit
4,0,4,0,0,0,0,0,Server Deficit
12,0,12,0,12,0,0,0,Server Deficit
2,1,1,0,0,1,0,0,Server Deficit
5,1,4,0,0,0,0,0,Server Deficit
1,0,1,0,0,1,0,0,Server Deficit
6,0,6,0,1,0,0,0,Server Deficit
14,0,14,0,3,0,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
2,0,2,0,1,0,0,0,Server Deficit
1,0,1,0,0,0,0,0,Server Deficit
6,0,6,0,0,1,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
1,0,1,0,0,0,0,0,Server Deficit
32,2,30,0,0,7,0,1,Moderate Deficit
2,1,1,0,0,0,0,0,Server Deficit
3,0,3,0,0,0,0,0,Server Deficit
2,1,1,0,1,0,0,0,Server Deficit
2,1,1,0,2,0,0,0,Server Deficit
19,2,17,0,3,6,0,1,Moderate Deficit
3,1,2,0,0,0,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
68,12,56,0,14,1,0,2,Well Equipped
3,1,2,0,1,0,0,0,Server Deficit
14,2,12,0,2,3,0,0,Server Deficit
14,2,12,0,1,0,0,0,Server Deficit
2,0,2,0,1,0,0,0,Server Deficit
21,9,12,0,3,5,0,1,Moderate Deficit
6,0,6,0,0,2,0,0,Server Deficit
8,1,7,0,1,0,0,0,Server Deficit
15,8,7,0,0,4,0,1,Moderate Deficit
8,0,8,0,2,0,0,0,Server Deficit
14,3,11,0,1,1,0,0,Server Deficit
2,1,1,0,0,1,0,0,Server Deficit
1,0,1,0,1,0,0,0,Server Deficit
2,0,2,0,1,0,0,0,Server Deficit
2,0,2,0,0,1,0,0,Server Deficit
5,1,4,0,0,0,0,0,Server Deficit
1,0,1,0,0,1,0,0,Server Deficit
12,3,9,0,0,0,0,0,Server Deficit
2,1,1,0,0,1,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
23,8,15,0,5,0,0,1,Moderate Deficit
17,4,13,0,2,6,0,1,Moderate Deficit
8,0,8,0,0,2,0,0,Server Deficit
1,0,1,0,0,1,0,0,Server Deficit
20,1,19,0,7,7,0,1,Moderate Deficit
7,3,4,0,1,2,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
1,1,0,0,0,1,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
33,10,23,0,6,5,0,1,Moderate Deficit
18,5,13,0,1,5,0,1,Moderate Deficit
6,2,4,0,0,0,0,0,Server Deficit
5,1,4,0,0,1,0,0,Server Deficit
1,1,0,0,0,0,0,0,Server Deficit
5,0,5,0,1,2,0,0,Server Deficit
28,1,27,0,16,1,1,1,Moderate Deficit
2,0,2,0,0,0,0,0,Server Deficit
4,0,4,0,1,0,0,0,Server Deficit
2,1,1,0,0,1,0,0,Server Deficit
59,11,48,0,7,9,0,1,Moderate Deficit
11,0,11,0,0,2,0,0,Server Deficit
6,0,6,0,0,1,0,0,Server Deficit
3,0,3,0,0,0,0,0,Server Deficit
6,0,6,0,3,0,0,0,Server Deficit
24,4,20,0,2,4,0,1,Moderate Deficit
2,0,2,0,0,0,0,0,Server Deficit
32,5,27,0,1,1,0,1,Moderate Deficit
3,1,2,0,0,0,0,0,Server Deficit
19,2,17,0,9,1,0,0,Server Deficit
12,0,12,0,0,1,0,0,Server Deficit
24,6,18,0,4,2,0,1,Moderate Deficit
2,0,2,0,1,1,0,0,Server Deficit
23,7,16,0,1,2,0,1,Moderate Deficit
5,2,3,0,0,0,0,0,Server Deficit
25,6,19,0,2,5,0,1,Moderate Deficit
30,6,24,0,4,0,0,1,Moderate Deficit
1,1,0,0,0,1,0,0,Server Deficit
15,0,15,0,1,0,0,0,Server Deficit
0,0,0,0,0,0,0,0,Server Deficit
2,0,2,0,1,0,0,0,Server Deficit
8,2,6,0,1,0,0,0,Server Deficit
7,2,5,0,1,1,0,0,Server Deficit
3,1,2,0,1,0,0,0,Server Deficit
7,1,6,0,0,3,0,0,Server Deficit
32,3,29,0,0,1,0,1,Moderate Deficit
16,7,9,0,4,1,0,0,Server Deficit
25,14,11,0,2,3,0,1,Moderate Deficit
20,4,16,0,1,4,1,1,Moderate Deficit
2,1,1,0,0,1,0,0,Server Deficit
9,0,9,0,0,1,0,0,Server Deficit
24,0,24,0,3,3,0,1,Moderate Deficit
2,0,2,0,0,0,0,0,Server Deficit
2,0,2,0,0,1,0,0,Server Deficit
2,0,2,0,0,1,0,0,Server Deficit
5,3,2,0,2,0,0,0,Server Deficit
12,2,10,0,1,3,1,1,Moderate Deficit
18,2,16,0,2,2,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
1,0,1,0,0,0,0,0,Server Deficit
1,0,1,0,0,1,0,0,Server Deficit
124,5,119,0,50,4,0,2,Well Equipped
52,5,47,0,1,3,0,1,Moderate Deficit
2,0,2,0,0,0,0,0,Server Deficit
6,5,1,0,0,4,0,0,Server Deficit
2,1,1,0,1,0,0,0,Server Deficit
5,2,3,0,0,1,0,0,Server Deficit
2,0,2,0,0,1,0,0,Server Deficit
4,0,4,0,2,0,0,0,Server Deficit
98,12,86,0,10,4,0,2,Well Equipped
41,7,34,0,8,2,0,1,Moderate Deficit
3,1,2,0,0,0,0,0,Server Deficit
2,0,2,0,1,0,0,0,Server Deficit
43,2,41,0,4,8,0,1,Moderate Deficit
2,0,2,0,0,0,0,0,Server Deficit
2,1,1,0,0,1,0,0,Server Deficit
43,8,35,0,14,1,0,1,Moderate Deficit
4,1,3,0,0,1,0,0,Server Deficit
8,1,7,0,2,1,0,0,Server Deficit
3,2,1,0,0,2,0,0,Server Deficit
2,0,2,0,1,0,0,0,Server Deficit
7,2,5,0,0,4,0,0,Server Deficit
2,0,2,0,0,1,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
8,4,4,0,2,0,0,0,Server Deficit
2,1,1,0,2,0,0,0,Server Deficit
6,1,5,0,1,0,0,0,Server Deficit
8,0,8,0,0,3,0,0,Server Deficit
17,2,15,0,3,1,0,0,Server Deficit
1,0,1,0,0,0,0,0,Server Deficit
7,1,6,0,0,2,0,0,Server Deficit
3,2,1,0,0,1,0,0,Server Deficit
7,0,7,0,0,2,0,0,Server Deficit
10,0,10,0,1,1,0,0,Server Deficit
19,6,13,0,1,2,0,1,Moderate Deficit
27,4,23,0,3,1,0,1,Moderate Deficit
6,0,6,0,2,2,0,0,Server Deficit
24,3,21,0,2,3,0,1,Moderate Deficit
2,0,2,0,0,0,0,0,Server Deficit
7,2,5,0,1,2,0,0,Server Deficit
93,15,78,0,24,1,1,2,Well Equipped
6,0,6,0,2,1,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
1,0,1,0,0,1,0,0,Server Deficit
5,0,5,0,0,2,0,0,Server Deficit
18,4,14,0,0,1,0,0,Server Deficit
5,0,5,0,2,0,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
2,2,0,0,0,1,0,0,Server Deficit
5,1,4,0,1,0,0,0,Server Deficit
2,2,0,0,0,0,0,0,Server Deficit
16,3,13,0,0,4,0,1,Moderate Deficit
12,0,12,0,1,0,0,0,Server Deficit
2,0,2,0,0,1,0,0,Server Deficit
31,5,26,0,5,0,0,1,Moderate Deficit
2,0,2,0,0,0,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
6,0,6,0,2,0,0,0,Server Deficit
7,0,7,0,0,0,0,0,Server Deficit
20,1,19,0,1,0,0,0,Server Deficit
6,0,6,0,2,0,0,0,Server Deficit
91,5,86,0,21,5,1,2,Well Equipped
4,1,3,0,0,4,0,0,Server Deficit
2,0,2,0,1,0,0,0,Server Deficit
4,0,4,0,0,0,0,0,Server Deficit
0,0,0,0,0,0,0,0,Server Deficit
2,1,1,0,0,0,1,0,Server Deficit
27,3,24,0,7,0,0,0,Server Deficit
16,0,16,0,5,0,0,0,Server Deficit
2,2,0,0,0,1,0,0,Server Deficit
3,1,2,0,0,0,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
5,1,4,0,2,1,0,0,Server Deficit
19,5,14,0,5,0,0,0,Server Deficit
11,4,7,0,1,1,0,0,Server Deficit
8,0,8,0,2,0,0,0,Server Deficit
6,1,5,0,1,1,0,0,Server Deficit
6,1,5,0,0,1,0,0,Server Deficit
45,8,37,0,8,6,1,1,Moderate Deficit
24,2,22,0,2,0,0,0,Server Deficit
1,0,1,0,0,1,0,0,Server Deficit
12,0,12,0,1,2,0,0,Server Deficit
5,2,3,0,0,1,0,0,Server Deficit
3,0,3,0,1,0,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
3,0,3,0,0,1,0,0,Server Deficit
2,0,2,0,0,2,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
9,2,7,0,0,1,1,0,Server Deficit
61,10,51,0,10,2,0,1,Moderate Deficit
6,1,5,0,0,3,0,0,Server Deficit
36,8,28,0,1,5,0,1,Moderate Deficit
31,5,26,0,4,0,0,1,Moderate Deficit
7,1,6,0,4,0,0,0,Server Deficit
12,1,11,0,0,2,0,0,Server Deficit
18,3,15,0,10,0,0,0,Server Deficit
7,1,6,0,0,0,0,0,Server Deficit
2,0,2,0,1,0,0,0,Server Deficit
9,0,9,0,3,0,0,0,Server Deficit
14,0,14,0,1,1,0,0,Server Deficit
6,0,6,0,0,0,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
3,1,2,0,0,0,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
7,2,5,0,1,2,0,0,Server Deficit
8,0,8,0,1,2,0,0,Server Deficit
30,9,21,0,3,2,0,1,Moderate Deficit
30,0,30,0,2,4,0,1,Moderate Deficit
32,0,32,0,7,4,0,1,Moderate Deficit
43,3,40,0,9,1,1,1,Moderate Deficit
23,0,23,0,3,5,0,1,Moderate Deficit
2,0,2,0,0,0,0,0,Server Deficit
6,1,5,0,1,0,0,0,Server Deficit
2,2,0,0,0,0,0,0,Server Deficit
17,5,12,0,3,1,0,0,Server Deficit
6,0,6,0,0,1,0,0,Server Deficit
8,2,6,0,1,3,0,0,Server Deficit
5,0,5,0,0,1,0,0,Server Deficit
8,4,4,0,0,2,0,0,Server Deficit
30,2,28,0,3,8,1,1,Moderate Deficit
2,0,2,0,0,0,0,0,Server Deficit
61,16,45,0,1,5,0,1,Moderate Deficit
6,2,4,0,0,2,0,0,Server Deficit
1,0,1,0,0,0,0,0,Server Deficit
2,0,2,0,0,0,1,0,Server Deficit
29,15,14,0,0,4,0,1,Moderate Deficit
2,0,2,0,0,0,0,0,Server Deficit
18,1,17,0,3,6,0,1,Moderate Deficit
10,0,10,0,0,3,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
32,19,13,0,3,20,0,1,Moderate Deficit
7,1,6,0,0,0,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
12,2,10,0,11,0,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
71,5,66,0,26,0,0,2,Well Equipped
8,0,8,0,0,1,0,0,Server Deficit
1,0,1,0,0,0,0,0,Server Deficit
2,0,2,0,0,1,0,0,Server Deficit
9,1,8,0,1,1,0,0,Server Deficit
2,0,2,0,1,0,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
8,1,7,0,1,1,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
7,3,4,0,0,1,0,0,Server Deficit
81,9,72,0,25,0,0,2,Well Equipped
2,2,0,0,0,1,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
7,1,6,0,0,0,0,0,Server Deficit
41,5,36,0,1,6,0,1,Moderate Deficit
6,0,6,0,0,1,0,0,Server Deficit
1,0,1,0,0,1,0,0,Server Deficit
5,4,1,0,0,5,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
36,18,18,0,0,8,0,1,Moderate Deficit
6,1,5,0,0,3,0,0,Server Deficit
6,0,6,0,1,1,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
2,2,0,0,0,1,0,0,Server Deficit
1,0,1,0,0,0,0,0,Server Deficit
12,1,11,0,1,3,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
2,1,1,0,0,1,0,0,Server Deficit
6,0,6,0,0,1,0,0,Server Deficit
18,2,16,0,8,0,0,0,Server Deficit
4,1,3,0,0,2,0,0,Server Deficit
2,0,2,0,1,0,0,0,Server Deficit
74,9,65,0,26,2,0,2,Well Equipped
30,6,24,0,5,1,0,1,Moderate Deficit
2,1,1,0,0,0,0,0,Server Deficit
35,0,35,0,0,4,0,1,Moderate Deficit
11,3,8,0,0,3,0,0,Server Deficit
40,4,36,0,12,1,0,1,Moderate Deficit
5,0,5,0,1,0,0,0,Server Deficit
5,0,5,0,0,1,0,0,Server Deficit
14,1,13,0,2,3,0,0,Server Deficit
11,0,11,0,6,0,0,0,Server Deficit
2,0,2,0,0,2,0,0,Server Deficit
16,6,10,0,0,2,0,0,Server Deficit
2,1,1,0,1,1,0,0,Server Deficit
2,0,2,0,0,2,0,0,Server Deficit
3,1,2,0,0,0,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
8,1,7,0,2,2,0,0,Server Deficit
34,3,31,0,8,5,0,1,Moderate Deficit
4,1,3,0,0,1,0,0,Server Deficit
74,5,69,0,24,1,0,2,Well Equipped
19,2,17,0,18,0,0,0,Server Deficit
52,9,43,0,5,4,1,1,Moderate Deficit
4,0,4,0,1,1,0,0,Server Deficit
2,0,2,0,0,1,0,0,Server Deficit
20,0,20,0,1,0,0,0,Server Deficit
0,0,0,0,0,0,0,0,Server Deficit
37,4,33,0,8,3,0,1,Moderate Deficit
1,0,1,0,0,0,0,0,Server Deficit
2,1,1,0,0,2,0,0,Server Deficit
10,0,10,0,0,0,0,0,Server Deficit
1,1,0,0,0,0,0,0,Server Deficit
3,1,2,0,0,0,0,0,Server Deficit
40,5,35,0,24,3,0,2,Well Equipped
6,1,5,0,2,1,0,0,Server Deficit
11,1,10,0,0,0,0,0,Server Deficit
7,1,6,0,1,1,0,0,Server Deficit
16,1,15,0,4,0,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
2,1,1,0,0,1,0,0,Server Deficit
10,0,10,0,0,1,0,0,Server Deficit
2,1,1,0,0,1,0,0,Server Deficit
1,0,1,0,0,0,0,0,Server Deficit
2,1,1,0,0,1,0,0,Server Deficit
6,1,5,0,0,2,0,0,Server Deficit
2,0,2,0,0,2,0,0,Server Deficit
6,3,3,0,0,2,0,0,Server Deficit
